,Unnamed: 0,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
10,10,19.88,6,64.0,21868.112617309696,0.97,0.0,0.97,0.01,0.01,0.0,0.0,1,0,97,97,0.97,0.01,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,6096,60,156,60.96,9.599999999999993,60.96,4.573822021484375e-05,100,92.15999999999984,DDOS
11,11,20.0,6,64.0,19693.41722227439,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.079030990600586e-05,100,0.0,DDOS
12,12,20.0,6,64.0,53567.10089399745,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.868009567260742e-05,100,0.0,DDOS
13,13,20.0,6,64.0,16428.92283587936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.086826324462891e-05,100,0.0,DDOS
14,0,0.0,1,64.0,57471.96492189641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.7409324645996093e-05,100,0.0,DDOS
15,1,0.0,1,64.0,35894.77107402653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.786874771118164e-05,100,0.0,DDOS
16,2,0.0,1,64.0,35802.85104566795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.794027328491211e-05,100,0.0,DDOS
17,3,0.0,1,64.0,16858.13504823151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.934000015258789e-05,100,0.0,DDOS
18,4,0.0,1,64.0,46790.53993752789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.1381378173828127e-05,100,0.0,DDOS
19,5,0.0,1,64.0,31025.25334714106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.2241344451904294e-05,100,0.0,DDOS
20,6,0.0,1,63.36,23084.946887555725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,4.333019256591797e-05,100,0.0,DDOS
21,7,0.0,1,64.0,27226.90035702693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.674030303955078e-05,100,0.0,DDOS
22,8,0.0,1,65.27,7485.684710249683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,0.0001336097717285,100,0.0,DDOS
23,9,0.0,1,64.0,18067.21516261038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.554914474487305e-05,100,0.0,DDOS
24,10,0.0,1,64.0,13772.588165758192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.261991500854492e-05,100,0.0,DDOS
25,11,0.0,1,64.0,16636.141519911154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.011962890625e-05,100,0.0,DDOS
26,12,0.0,1,64.0,205301.223690651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.880428314208984e-06,100,0.0,DDOS
27,13,0.0,1,64.0,21556.7867605489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.639863967895508e-05,100,0.0,DDOS
28,0,20.0,6,64.0,32042.047364400307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.120899200439453e-05,100,0.0,DDOS
29,1,19.6,6,62.72,4636.075648550364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,0.0,0.98,0.98,6000,60,60,60.0,0.0,60.0,0.0002158379554748,100,0.0,DDOS
30,2,20.0,6,64.0,32819.28012519562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.815889358520508e-05,100,0.0,DDOS
31,3,20.0,6,64.0,38911.81000092773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.5708675384521484e-05,100,0.0,DDOS
32,4,20.36,6,63.6,42353.87256386953,0.01,0.0,0.0,0.01,0.03,0.0,0.0,3,0,1,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6025,60,73,60.25,1.5398740601789878,60.25,2.394914627075196e-05,100,2.371212121212121,DDOS
33,5,20.0,6,64.0,27181.02520899488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.679037094116211e-05,100,0.0,DDOS
34,6,20.0,6,64.0,26412.493702770786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.786087036132813e-05,100,0.0,DDOS
35,7,20.0,6,64.0,17844.30546692193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17400,174,174,174.0,0.0,174.0,5.7058334350585936e-05,100,0.0,DDOS
36,8,20.0,6,64.0,29736.29209500177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.388881683349609e-05,100,0.0,DDOS
37,9,20.0,6,64.0,41668.03099543016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.399921417236328e-05,100,0.0,DDOS
38,10,20.0,6,64.0,41254.09658699715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.424001693725586e-05,100,0.0,DDOS
39,11,20.0,6,64.0,20911.921025078525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.781961441040039e-05,100,0.0,DDOS
40,12,19.88,6,64.64,35374.07438643839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6199,60,259,61.99,19.899999999999928,61.99,2.8269290924072264e-05,100,396.0099999999971,DDOS
41,13,20.04,6,63.77,29273.478503629256,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.4160614013671875e-05,100,0.0,DDOS
42,0,8.0,17,64.0,40079.35021500239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.5119781494140625e-05,100,0.0,DDOS
43,1,9.44,17,74.98,8695.74159306713,0.0,0.0,0.0,0.05,0.06,0.0,0.0,6,0,0,0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.94,0.0,0.0,0.0,0.0,1.0,1.0,21744,60,2922,217.44,639.8614168140431,217.44,0.000115008354187,100,409422.63272727455,DDOS
44,2,8.0,17,64.0,42426.70443050779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.806901931762696e-05,100,0.0,DDOS
45,3,8.0,17,64.0,26238.99906162027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.8120746612548825e-05,100,0.0,DDOS
46,4,7.92,17,64.54,33942.7369102533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6038,60,98,60.38,3.7999999999999874,60.38,7.389068603515625e-05,100,14.439999999999904,DDOS
47,5,8.0,17,64.0,33156.55335968379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6016,60,76,60.16,1.5999999999999996,60.16,3.016948699951172e-05,100,2.5599999999999987,DDOS
48,6,7.92,17,63.36,16661.253674425996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,6.0029029846191407e-05,100,0.0,DDOS
49,7,7.92,17,65.91,40094.67546123698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010,60,70,60.1,1.0000000000000018,60.1,2.495050430297852e-05,100,1.0000000000000038,DDOS
50,8,8.0,17,64.0,46926.65025732826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.130985260009765e-05,100,0.0,DDOS
51,9,8.0,17,64.0,41597.77843895666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.404928207397461e-05,100,0.0,DDOS
52,10,8.0,17,64.0,30797.444746310302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.272056579589844e-05,100,0.0,DDOS
53,11,8.0,17,64.0,45894.56176824598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.17890739440918e-05,100,0.0,DDOS
54,12,8.0,17,64.0,16906.38074892176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.916833877563476e-05,100,0.0,DDOS
55,13,8.0,17,64.0,41892.76867758689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.38800048828125e-05,100,0.0,DDOS
56,0,20.0,6,64.0,25063.06543172991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.989934921264648e-05,100,0.0,DDOS
57,1,19.76,6,65.28,37134.16555998229,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0,98,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,0.0,0.0,1.0,1.0,6134,60,169,61.34,11.158382272959404,61.34,2.6929378509521485e-05,100,124.50949494949468,DDOS
58,2,20.0,6,64.0,27151.11341273952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.683090209960937e-05,100,0.0,DDOS
59,3,20.64,6,64.0,25522.112693197032,0.0,0.99,0.01,0.0,0.16,0.0,0.0,16,99,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.918170928955078e-05,100,0.0,DDOS
60,4,20.0,6,64.0,59519.0009933305,0.0,0.99,0.0,0.01,0.01,0.0,0.0,1,99,0,0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6085,60,145,60.85,8.5,60.85,1.680135726928711e-05,100,72.25,DDOS
61,5,20.0,6,64.0,30673.57027936229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.261089324951172e-05,100,0.0,DDOS
62,6,19.56,6,63.06,11495.33806561241,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0,97,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.0,0.01,0.0,0.0,0.99,0.99,6322,60,221,63.22,22.65355235594264,63.22,8.699178695678711e-05,100,513.183434343434,DDOS
63,7,20.0,6,64.0,33524.93006154584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.9838085174560548e-05,100,0.0,DDOS
64,8,20.0,6,64.0,30929.16451589116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.2331943511962894e-05,100,0.0,DDOS
65,9,20.0,6,64.0,45003.26180257511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.2220611572265626e-05,100,0.0,DDOS
66,10,20.0,6,64.0,43271.474259775096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.310991287231445e-05,100,0.0,DDOS
67,11,19.88,6,64.64,24426.672878690817,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6110,60,170,61.1,10.999999999999975,61.1,4.09388542175293e-05,100,120.9999999999995,DDOS
68,12,19.68,6,63.36,23343.18788958148,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0,98,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.98,0.01,0.0,0.01,0.0,0.0,0.99,0.99,6010,60,70,60.1,1.0000000000000018,60.1,4.284858703613281e-05,100,1.0000000000000038,DDOS
69,13,20.0,6,64.0,11970.045662100456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,8.35418701171875e-05,100,0.0,DDOS
70,0,20.0,6,65.91,27909.928134149588,0.0,0.0,0.17,0.83,0.83,0.0,0.0,83,0,0,17,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6055,60,115,60.55,5.499999999999994,60.55,3.5841464996337894e-05,100,30.24999999999993,DDOS
71,1,20.0,6,64.0,25766.70352623172,0.0,0.0,0.39,0.61,0.61,0.0,0.0,61,0,0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.8819313049316405e-05,100,0.0,DDOS
72,2,20.0,6,64.0,29842.07755247243,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.351926803588867e-05,100,0.0,DDOS
73,3,20.0,6,64.0,45729.43741822939,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.1867752075195312e-05,100,0.0,DDOS
74,4,20.0,6,64.0,144282.9033367733,0.0,0.0,0.6,0.4,0.4,0.0,0.0,40,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.929801940917968e-06,100,0.0,DDOS
75,5,20.0,6,64.0,34376.723219408246,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.908945083618164e-05,100,0.0,DDOS
76,6,20.0,6,64.0,34130.55578159329,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.930879592895508e-05,100,0.0,DDOS
77,7,20.0,6,64.0,5701.26141800783,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001754093170166,100,0.0,DDOS
78,8,20.0,6,64.0,37173.65948772489,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.8619766235351564e-05,100,0.0,DDOS
79,9,20.0,6,64.0,11165.754445745926,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,9.004831314086914e-05,100,0.0,DDOS
80,10,19.44,6,61.86,3246.013589858684,0.0,0.01,0.0,0.96,0.97,0.0,0.0,97,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.03,0.0,0.0,0.97,0.97,6000,60,60,60.0,0.0,60.0,0.0003080701828002,100,0.0,DDOS
81,11,20.0,6,64.0,35436.83676917878,0.0,0.0,0.27,0.73,0.73,0.0,0.0,73,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.8228759765625e-05,100,0.0,DDOS
82,12,20.0,6,64.0,26225.87381979616,0.0,0.0,0.28,0.72,0.72,0.0,0.0,72,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.813982009887695e-05,100,0.0,DDOS
83,13,19.8,6,63.36,8278.177117255807,0.0,0.0,0.0,0.99,0.99,0.0,0.0,99,0,0,0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,0.0001217579841613,100,0.0,DDOS
